multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,5.74,0.53,403.82,0.63,642255.99,7719.0,1.0,4.0,114.97,120.0,0.0,0.0
mul8u_17MJ,18.8,5.7,0.32,386.49,0.62,597195.3,7470.0,2.02,2.0,104.94,110.0,0.0,3.0
mul8u_R36,60.5,4.42,0.43,177.72,0.34,138906.19,3587.0,1.0,7.0,338.52,380.0,2.88,15.0
mul8u_1A0M,75.6,5.75,0.61,326.46,0.63,525073.41,4087.0,6.12,8.0,1041.84,1200.0,0.21,13.0
mul8u_Z9D,220.6,5.84,0.24,46.86,0.04,25044.73,2544.0,0.46,11.0,1290.63,1440.0,20.32,73.0
mul8u_17R6,228.5,5.69,0.6,112.54,0.47,63296.39,1058.0,1.02,8.0,5163.77,6350.0,3.72,58.0
mul8u_2NDH,347.8,5.74,0.63,42.81,2.33,17614.22,1286.0,208.0,12.0,4264.76,4940.0,8.54,60.0
mul8u_197B,395.6,5.75,0.62,55.24,0.28,9216.48,393.0,1.02,11.0,9952.51,10660.0,18.82,144.0
mul8u_NLX,511.5,5.79,0.59,19.07,0.14,1208.7,155.0,1.0,10.0,12872.55,14360.0,28.13,185.0
mul8u_GTR,550.5,5.77,0.57,16.57,0.14,951.67,125.0,1.0,10.0,13980.68,15520.0,32.09,224.0
mul8u_BG1,561.8,5.8,0.2,46.56,0.04,27770.72,1780.0,0.53,10.0,19247.5,21830.0,36.47,186.0
mul8u_R92,604.5,5.75,0.54,2.71,0.07,139.37,39.0,3.0,10.0,15571.76,17230.0,45.5,269.0
mul8u_ZDF,651.9,5.7,0.15,0.55,0.0,16.31,34.0,0.37,10.0,16358.54,18150.0,50.62,272.0
mul8u_ZB3,682.8,5.77,0.03,0.07,0.0,0.13,2.0,0.22,9.0,17241.52,19190.0,55.97,294.0
mul8u_12KA,683.3,5.8,0.05,6.08,0.01,902.97,192.0,0.29,4.0,16663.53,18130.0,56.81,283.0
