multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,0.39,0.69,117.34,0.99,19667.2,508.0,1.0,3.0,114.99,120.0,0.0,0.0
mul8u_17MJ,18.8,0.39,0.34,115.63,0.99,19121.98,508.0,1.0,1.0,104.95,110.0,0.0,0.0
mul8u_R36,60.5,0.38,0.75,62.46,0.71,5239.86,126.0,1.0,2.0,338.21,380.0,1.43,4.0
mul8u_1A0M,75.6,0.39,0.92,115.49,0.99,19215.21,508.0,1.0,4.0,1042.0,1210.0,0.0,0.0
mul8u_Z9D,220.6,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.57,1410.0,13.65,32.0
mul8u_17R6,228.5,0.39,0.94,116.76,0.99,19667.46,508.0,1.0,5.0,5168.19,6390.0,0.0,0.0
mul8u_2NDH,347.8,0.39,0.99,33.17,0.73,5188.43,126.0,1.0,6.0,4264.8,4940.0,2.97,10.0
mul8u_197B,395.6,0.39,0.99,80.78,0.82,7715.55,182.0,1.0,7.0,9952.15,10650.0,4.05,20.0
mul8u_NLX,511.5,0.39,0.93,24.41,0.36,975.7,62.0,1.0,4.0,12871.78,14340.0,9.97,33.0
mul8u_GTR,550.5,0.39,0.93,30.25,0.39,1254.22,62.0,1.0,4.0,13983.24,15550.0,11.81,37.0
mul8u_BG1,561.8,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19247.02,21780.0,23.51,58.0
mul8u_R92,604.5,0.39,0.87,14.77,0.21,302.78,30.0,1.0,3.0,15564.57,17340.0,17.85,49.0
mul8u_ZDF,651.9,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16359.14,18420.0,26.08,65.0
mul8u_ZB3,682.8,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17234.96,19160.0,27.95,69.0
mul8u_12KA,683.3,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16672.32,18400.0,28.33,70.0
