multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,4.9,0.67,510.49,0.83,1022758.54,10665.0,1.0,5.0,115.02,120.0,0.0,0.0
mul8u_17MJ,18.8,4.93,0.41,521.55,0.83,1033542.01,8280.0,5.12,4.0,105.01,110.0,0.01,3.0
mul8u_R36,60.5,4.01,0.63,249.63,0.55,196629.08,3888.0,1.0,8.0,338.09,380.0,3.21,16.0
mul8u_1A0M,75.6,4.9,0.8,388.09,0.85,787418.47,4815.0,7.01,8.0,1041.61,1210.0,0.36,24.0
mul8u_Z9D,220.6,4.91,0.35,74.28,0.06,55009.73,4864.0,0.48,9.0,1290.75,1420.0,24.22,78.0
mul8u_17R6,228.5,4.9,0.8,154.84,0.65,79586.26,1185.0,1.02,8.0,5165.0,6350.0,4.63,74.0
mul8u_2NDH,347.8,4.91,0.83,71.8,1.77,32365.21,1301.0,208.0,12.0,4264.34,4950.0,11.01,70.0
mul8u_197B,395.6,4.94,0.83,70.8,0.42,11724.64,403.0,1.02,11.0,9951.55,10770.0,23.15,179.0
mul8u_NLX,511.5,4.97,0.79,25.49,0.24,1741.28,155.0,1.35,10.0,12872.99,14310.0,34.84,225.0
mul8u_GTR,550.5,4.97,0.75,21.21,0.21,1276.35,125.0,1.0,10.0,13978.34,15540.0,39.66,226.0
mul8u_BG1,561.8,4.96,0.29,70.92,0.06,51509.66,1786.0,0.53,11.0,19254.78,21870.0,44.54,203.0
mul8u_R92,604.5,4.95,0.72,3.77,0.11,187.57,39.0,3.0,9.0,15561.95,17390.0,57.73,362.0
mul8u_ZDF,651.9,4.92,0.22,0.67,0.01,25.3,34.0,0.37,9.0,16357.23,18200.0,65.03,263.0
mul8u_ZB3,682.8,4.97,0.05,0.09,0.0,0.18,2.0,0.22,9.0,17234.22,19250.0,72.47,311.0
mul8u_12KA,683.3,5.01,0.06,10.21,0.01,1725.25,192.0,0.29,6.0,16663.23,18240.0,72.02,301.0
