multiplier,Plocha,Průměr překl. bitů,Procento pokrytí,Průměrné zpoždění,Pravděpodobnost chyby,Max. překl. bitů,Max. Hammingova vzdálenost,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Nejhorší zpoždění
mul8u_17MN,13.1,3.74,14.12,115.0,0.97,9.0,8.0,2342.61,0.59,42880774.66,17726.0,2.94,120.0
mul8u_17MJ,18.8,3.44,14.14,105.04,0.89,8.0,6.0,1406.84,0.53,28646249.92,17030.0,4.76,110.0
mul8u_R36,60.5,12.76,14.13,338.56,0.98,30.0,10.0,3764.64,0.31,36718512.06,32289.0,1.0,380.0
mul8u_1A0M,75.6,18.86,26.28,1041.71,0.98,56.0,11.0,96.1,0.34,5462385.35,7171.0,6.77,1200.0
mul8u_Z9D,220.6,48.12,14.09,1290.61,0.89,91.0,13.0,3141.56,0.16,32475721.88,31752.0,0.66,1410.0
mul8u_17R6,228.5,56.0,14.1,5162.93,0.98,189.0,11.0,185.57,0.12,306809.19,1905.0,2.56,6320.0
mul8u_2NDH,347.8,68.36,14.15,4263.88,0.99,179.0,14.0,93.52,0.14,169105.55,2709.0,208.0,4890.0
mul8u_197B,395.6,124.19,14.09,9954.0,0.98,312.0,14.0,69.92,0.04,20974.73,424.0,1.0,10650.0
mul8u_NLX,511.5,163.53,14.08,12874.74,0.95,421.0,14.0,6.06,0.02,2751.55,161.0,1.29,14430.0
mul8u_GTR,550.5,176.54,14.09,13978.72,0.84,459.0,13.0,20.1,0.01,1528.88,125.0,1.0,15470.0
mul8u_BG1,561.8,184.4,14.13,19263.54,0.49,555.0,13.0,289.01,0.03,393955.35,2932.0,0.53,21750.0
mul8u_R92,604.5,204.95,14.1,15563.89,0.83,498.0,13.0,2.84,0.01,212.73,39.0,2.56,17350.0
mul8u_ZB3,682.8,230.85,14.15,17238.84,0.07,538.0,10.0,0.14,0.0,0.27,2.0,0.22,19040.0
mul8u_12KA,683.3,223.03,14.13,16654.07,0.09,511.0,9.0,11.91,0.0,1761.59,192.0,0.28,18160.0
