multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,0.39,0.87,995.26,0.72,32130790.77,17533.0,1.01,7.0,114.93,120.0,2.33,9.0
mul8u_17MJ,18.8,0.39,0.83,910.72,0.93,21805715.51,17284.0,5.12,6.0,105.05,110.0,2.64,8.0
mul8u_1A0M,75.6,0.39,0.95,27.16,0.46,4451957.9,7200.0,1.0,9.0,1041.79,1200.0,14.25,54.0
mul8u_Z9D,220.6,0.39,0.93,2637.22,0.22,23174748.65,31752.0,0.49,11.0,1290.6,1420.0,43.41,99.0
mul8u_17R6,228.5,0.39,0.89,298.75,0.28,295517.54,1469.0,1.0,9.0,5162.99,6390.0,37.58,196.0
mul8u_2NDH,347.8,0.38,0.96,131.36,0.64,150980.9,2056.0,208.0,12.0,4263.55,4880.0,51.69,183.0
mul8u_197B,395.6,0.39,0.95,80.62,0.14,25775.88,399.0,1.0,12.0,9955.21,10710.0,97.21,299.0
mul8u_NLX,511.5,0.39,0.9,5.89,0.08,4419.01,161.0,1.0,10.0,12862.65,14350.0,129.08,420.0
mul8u_GTR,550.5,0.39,0.84,25.34,0.07,1822.18,105.0,1.0,9.0,13975.3,15560.0,142.56,423.0
mul8u_BG1,561.8,0.39,0.54,231.18,0.03,400613.36,2938.0,0.37,10.0,19263.65,21800.0,147.81,488.0
mul8u_R92,604.5,0.39,0.75,0.63,0.03,153.83,34.0,1.0,9.0,15562.17,17250.0,172.48,500.0
mul8u_ZDF,651.9,0.39,0.58,0.32,0.01,105.93,28.0,0.37,13.0,16352.29,18230.0,184.83,503.0
mul8u_ZB3,682.8,0.39,0.25,0.49,0.0,0.98,2.0,0.22,8.0,17236.71,19340.0,196.22,569.0
mul8u_12KA,683.3,0.39,0.05,4.48,0.0,463.0,192.0,0.01,6.0,16659.01,18230.0,196.87,512.0
