multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,0.39,0.93,1606.1,0.53,48959181.88,17533.0,1.01,7.0,114.98,120.0,3.77,9.0
mul8u_17MJ,18.8,0.39,0.89,2130.75,0.66,34300636.73,17793.0,5.12,6.0,105.06,110.0,3.86,8.0
mul8u_R36,60.5,0.39,0.97,6731.84,0.36,111108008.89,32289.0,1.0,8.0,338.23,380.0,12.61,30.0
mul8u_1A0M,75.6,0.39,0.97,237.97,0.31,6311693.18,7200.0,1.0,9.0,1041.94,1200.0,21.27,54.0
mul8u_Z9D,220.6,0.39,0.97,6560.92,0.25,108295128.03,32258.0,0.5,11.0,1290.64,1410.0,48.32,113.0
mul8u_17R6,228.5,0.39,0.93,265.58,0.17,334967.5,1469.0,1.0,9.0,5170.15,6310.0,61.07,217.0
mul8u_2NDH,347.8,0.39,0.98,190.35,0.22,304076.77,2565.0,208.0,12.0,4261.22,4940.0,69.75,186.0
mul8u_197B,395.6,0.39,0.97,68.63,0.09,26932.71,399.0,1.0,12.0,9952.21,10860.0,126.55,344.0
mul8u_NLX,511.5,0.39,0.93,1.75,0.05,4415.26,161.0,1.0,10.0,12861.77,14410.0,165.21,412.0
mul8u_GTR,550.5,0.39,0.85,22.04,0.04,1649.62,105.0,1.0,9.0,13975.75,15690.0,180.46,433.0
mul8u_BG1,561.8,0.39,0.59,332.9,0.02,513636.13,2938.0,0.37,10.0,19266.83,21900.0,188.28,563.0
mul8u_R92,604.5,0.39,0.77,0.09,0.02,158.92,34.0,1.0,9.0,15568.66,17320.0,211.04,509.0
mul8u_ZDF,651.9,0.39,0.6,0.62,0.01,108.98,28.0,0.37,13.0,16353.46,18250.0,225.07,517.0
mul8u_ZB3,682.8,0.39,0.25,0.5,0.0,0.99,2.0,0.22,9.0,17234.77,19150.0,236.42,565.0
mul8u_12KA,683.3,0.39,0.1,12.64,0.0,1881.38,192.0,0.01,6.0,16660.82,18230.0,235.51,536.0
