multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,24.47,0.94,1908.7,0.58,44016175.32,17662.0,2.88,8.0,115.03,120.0,3.4,9.0
mul8u_17MJ,18.8,24.65,0.88,1130.23,0.5,27626212.71,16384.0,4.94,6.0,104.98,110.0,3.2,8.0
mul8u_R36,60.5,24.56,0.94,2846.44,0.26,19135040.46,28280.0,1.0,10.0,338.5,380.0,12.2,30.0
mul8u_1A0M,75.6,24.55,0.95,139.85,0.32,5841206.19,6993.0,6.31,11.0,1042.2,1210.0,17.16,55.0
mul8u_Z9D,220.6,24.7,0.86,2193.26,0.13,15285448.93,29480.0,0.49,13.0,1290.58,1420.0,47.03,91.0
mul8u_17R6,228.5,24.65,0.94,181.07,0.08,311500.42,1925.0,2.16,12.0,5171.66,6490.0,52.38,198.0
mul8u_2NDH,347.8,24.63,0.96,81.97,0.6,136136.6,2117.0,208.0,14.0,4263.25,4880.0,64.3,170.0
mul8u_197B,395.6,24.59,0.94,68.81,0.03,20687.88,431.0,1.02,15.0,9953.64,10700.0,117.1,298.0
mul8u_NLX,511.5,24.58,0.91,5.29,0.01,2629.8,161.0,1.0,15.0,12872.46,14500.0,153.74,393.0
mul8u_GTR,550.5,24.62,0.81,19.56,0.01,1490.17,125.0,1.0,12.0,13980.94,15520.0,167.76,429.0
mul8u_BG1,561.8,24.71,0.48,272.05,0.03,390470.61,2938.0,0.52,13.0,19264.64,21830.0,172.46,547.0
mul8u_R92,604.5,24.44,0.8,2.87,0.0,204.07,39.0,1.0,15.0,15565.35,17320.0,193.87,489.0
mul8u_ZDF,651.9,24.55,0.38,0.69,0.0,56.85,34.0,0.18,13.0,16359.27,18250.0,205.36,497.0
mul8u_ZB3,682.8,24.5,0.06,0.12,0.0,0.23,2.0,0.04,10.0,17221.87,19090.0,216.34,569.0
mul8u_12KA,683.3,24.51,0.08,8.23,0.0,977.34,192.0,0.27,10.0,16667.06,18410.0,214.11,491.0
