multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,24.07,0.96,2714.61,0.78,32971527.69,17789.0,2.94,8.0,114.97,120.0,2.45,9.0
mul8u_17MJ,18.8,24.01,0.85,1594.32,0.74,21622768.14,16384.0,5.12,6.0,105.03,110.0,2.39,8.0
mul8u_R36,60.5,1.81,0.65,2121.24,0.33,11793979.69,27360.0,1.0,9.0,338.35,380.0,6.96,26.0
mul8u_1A0M,75.6,24.01,0.98,375.4,0.55,5681939.52,7008.0,6.77,10.0,1041.33,1210.0,12.62,51.0
mul8u_Z9D,220.6,24.04,0.84,1276.01,0.13,6554886.95,27996.0,0.51,12.0,1290.19,1420.0,44.77,91.0
mul8u_17R6,228.5,24.01,0.97,208.34,0.19,293170.32,1867.0,2.56,11.0,5160.37,6390.0,37.88,184.0
mul8u_2NDH,347.8,24.09,0.99,69.75,0.22,90747.81,2709.0,208.0,15.0,4263.95,4940.0,54.05,169.0
mul8u_197B,395.6,24.08,0.98,82.02,0.07,21982.34,431.0,1.02,15.0,9952.92,10670.0,101.53,303.0
mul8u_NLX,511.5,24.08,0.95,9.55,0.03,2815.48,161.0,1.0,12.0,12871.16,14370.0,137.21,428.0
mul8u_GTR,550.5,24.11,0.84,21.49,0.02,1548.65,125.0,1.0,12.0,13982.51,15600.0,148.85,409.0
mul8u_BG1,561.8,23.95,0.44,192.93,0.03,286195.05,2932.0,0.53,13.0,19251.81,21730.0,153.4,502.0
mul8u_R92,604.5,24.05,0.83,3.39,0.01,210.75,39.0,2.56,14.0,15559.05,17250.0,177.41,448.0
mul8u_ZDF,651.9,23.96,0.4,0.6,0.0,60.71,34.0,0.29,14.0,16355.83,18180.0,189.4,542.0
mul8u_ZB3,682.8,24.03,0.06,0.12,0.0,0.24,2.0,0.04,11.0,17219.58,19110.0,201.25,523.0
mul8u_12KA,683.3,24.12,0.05,4.42,0.0,426.44,192.0,0.22,9.0,16665.62,18200.0,197.97,491.0
