multiplier,Plocha,% pokrytí,Pravděpodobnost chyby,Průměrná absolutní chyba,Průměrná relativní chyba,Průměrná kvadratická chyba,Nejhorší absolutní chyba,Nejhorší relativní chyba,Max. Hammingova vzdálenost,Průměrné zpoždění,Nejhorší zpoždění,Průměr překl. bitů,Max. překl. bitů
mul8u_17MN,13.1,14.12,0.97,2342.61,0.59,42880774.66,17726.0,2.94,8.0,115.0,120.0,3.74,9.0
mul8u_17MJ,18.8,14.14,0.89,1406.84,0.53,28646249.92,17030.0,4.76,6.0,105.04,110.0,3.44,8.0
mul8u_R36,60.5,14.13,0.98,3764.64,0.31,36718512.06,32289.0,1.0,10.0,338.56,380.0,12.76,30.0
mul8u_1A0M,75.6,26.28,0.98,96.1,0.34,5462385.35,7171.0,6.77,11.0,1041.71,1200.0,18.86,56.0
mul8u_Z9D,220.6,14.09,0.89,3141.56,0.16,32475721.88,31752.0,0.66,13.0,1290.61,1410.0,48.12,91.0
mul8u_17R6,228.5,14.1,0.98,185.57,0.12,306809.19,1905.0,2.56,11.0,5162.93,6320.0,56.0,189.0
mul8u_2NDH,347.8,14.15,0.99,93.52,0.14,169105.55,2709.0,208.0,14.0,4263.88,4890.0,68.36,179.0
mul8u_197B,395.6,14.09,0.98,69.92,0.04,20974.73,424.0,1.0,14.0,9954.0,10650.0,124.19,312.0
mul8u_NLX,511.5,14.08,0.95,6.06,0.02,2751.55,161.0,1.29,14.0,12874.74,14430.0,163.53,421.0
mul8u_GTR,550.5,14.09,0.84,20.1,0.01,1528.88,125.0,1.0,13.0,13978.72,15470.0,176.54,459.0
mul8u_BG1,561.8,14.13,0.49,289.01,0.03,393955.35,2932.0,0.53,13.0,19263.54,21750.0,184.4,555.0
mul8u_R92,604.5,14.1,0.83,2.84,0.01,212.73,39.0,2.56,13.0,15563.89,17350.0,204.95,498.0
mul8u_ZB3,682.8,14.15,0.07,0.14,0.0,0.27,2.0,0.22,10.0,17238.84,19040.0,230.85,538.0
mul8u_12KA,683.3,14.13,0.09,11.91,0.0,1761.59,192.0,0.28,9.0,16654.07,18160.0,223.03,511.0
